"Plate Capture Number","Photo Number","License Plate","Processing Time (ms)","Car Owner","Location","Manufacturer","Manufacturer Year","Insurance","Car Status"
"1","3","8L86R","3345","Owner","Location","Manufacturer","2006","Insurance","Status"
"2","11","浙   闽","4264","Owner","Location","Manufacturer","2006","Insurance","Status"
"3","12","8L86R","3015","Owner","Location","Manufacturer","2006","Insurance","Status"
"4","13","8L86R 7","3157","Owner","Location","Manufacturer","2006","Insurance","Status"
"5","14","D 8L86R","2277","Owner","Location","Manufacturer","2006","Insurance","Status"
"6","15","8L86R","3033","Owner","Location","Manufacturer","2006","Insurance","Status"
"7","16","D 8L86","2970","Owner","Location","Manufacturer","2006","Insurance","Status"
"8","51","川J 4YT37","1791","Owner","Location","Manufacturer","2006","Insurance","Status"
"9","54","E  冀 J","2998","Owner","Location","Manufacturer","2006","Insurance","Status"
"10","55","HJ 4YT37","1693","Owner","Location","Manufacturer","2006","Insurance","Status"
"11","59","4YT37 豫","1594","Owner","Location","Manufacturer","2006","Insurance","Status"
"12","64","黑浙黑藏 湘","2297","Owner","Location","Manufacturer","2006","Insurance","Status"
"13","65","湘 4YT3Z","1752","Owner","Location","Manufacturer","2006","Insurance","Status"
"14","66","川J 4YT37","1713","Owner","Location","Manufacturer","2006","Insurance","Status"
"15","67","","1466","Owner","Location","Manufacturer","2006","Insurance","Status"
"16","100","津  4YT新","1914","Owner","Location","Manufacturer","2006","Insurance","Status"
"17","121","HJ 4YT冀","1912","Owner","Location","Manufacturer","2006","Insurance","Status"
